Subject ID,max_abs_X,max_abs_Y,max_abs_Z,max_abs_RX,max_abs_RY,max_abs_RZ,mean FD
DMP0679,0.07335,0.36726,0.15345,0.26936,0.13701,0.26029,0.07535
DMP0700,0.11361,0.33400,0.65989,0.37306,0.18508,0.24345,0.08269
DMP0701,0.39431,0.61035,0.79508,0.47480,0.59648,0.28839,0.15113
DMP0715,0.24063,0.18880,0.74594,0.53698,0.50822,0.54661,0.20654
DMP0723,0.32473,1.15798,0.32157,0.92910,0.30032,0.07873,0.07437
DMP0724,0.19494,0.68333,0.25756,0.46567,0.12080,0.15783,0.17205
DMP0730,0.34365,1.24151,0.53198,1.11959,0.38193,0.24225,0.15648
DMP0755,0.13848,0.74398,0.25696,0.93382,0.26953,0.15445,0.22840
DMP0759,0.06689,0.18035,0.49271,0.61738,0.41510,0.20194,0.06157
DMP0760,0.18083,0.51022,3.03644,0.89428,0.33537,0.13623,0.23699
DMP0772,0.17904,0.29021,0.34710,0.66238,0.13209,0.16215,0.10193
DMP0773,0.22467,0.60435,0.29892,0.23177,0.18707,0.28410,0.11619
DMP0775,0.54651,0.73082,0.46379,0.87908,0.41829,0.28858,0.09955
DMP0777,0.28688,1.12768,2.18789,2.02139,0.49451,0.48997,0.37524
DMP0782,0.65388,1.54667,3.57310,0.78140,0.42040,0.77103,0.26323
DMP0793,0.23853,0.88081,0.86809,1.52991,0.26808,0.14116,0.10901
DMP0795,0.08964,0.37647,0.19433,0.15611,0.10785,0.20084,0.08889
DMP0800,0.04415,0.33158,0.15091,0.18260,0.07107,0.11136,0.06750
DMP0801,0.11951,0.29204,0.25608,0.23000,0.10776,0.09708,0.08234
DMP0808,0.29296,0.35425,0.66028,1.27271,0.93262,1.26242,0.20332
DMP0812,0.15181,0.48480,1.30902,2.37399,0.39113,0.20033,0.20381
DMP0813,0.08084,0.30655,0.37056,0.17057,0.09556,0.09792,0.09306
DMP0815,0.31664,0.67230,0.43156,0.97776,0.35381,0.21986,0.16620
DMP0821,0.47884,0.26166,0.36702,0.65956,0.38843,0.10595,0.13111
DMP0844,0.32776,0.33507,0.21470,0.35708,0.15826,0.24888,0.09659
DMP0847,0.43591,0.54277,0.64202,0.34020,0.15796,0.24171,0.14437
DMP0848,0.69637,0.99584,0.30055,0.57398,0.79174,0.52208,0.17634
DMP0859,0.58525,0.79954,0.47020,0.67560,0.70473,0.16093,0.20987
DMP0870,0.59419,0.61093,2.18735,2.03493,1.05488,0.56013,0.21357
DMP0877,0.32395,0.69896,0.71126,0.96482,0.92964,1.13145,0.30261
DMP0889,0.17813,0.28750,0.93329,1.93368,0.78735,0.31122,0.29467
DMP0897,0.24996,0.63592,0.41087,1.45793,0.73619,0.43218,0.19597
DMP0909,0.35281,0.77365,1.29849,0.78651,0.36414,0.50395,0.42169
DMP0912,0.18593,0.93071,2.59960,2.60947,0.34016,0.34237,0.33143
DMP0913,0.71273,0.25734,0.61757,0.39608,0.74660,0.81220,0.09719
DMP0919,0.04437,1.78456,0.32297,3.94226,0.29478,0.21165,0.13180
DMP0922,0.20414,0.88048,1.02190,1.53048,0.88063,0.52913,0.37960
DMP0928,0.09560,0.41176,0.63186,0.62248,0.11464,0.16204,0.19526
DMP0929,0.33045,0.55806,0.21829,0.16952,0.20638,0.29508,0.15188
DMP0937,0.23316,0.28858,0.20148,0.21148,0.13944,0.32156,0.15409
DMP0939,0.22625,0.85019,0.21940,0.73380,0.27471,0.14902,0.13792
DMP0952,0.26517,1.47369,0.48557,1.51734,0.25852,0.85422,0.09985
DMP0954,0.06102,0.35153,0.36382,0.15029,0.10621,0.35597,0.06892
DMP0969,0.42750,0.28542,0.39638,0.45082,0.14406,0.16808,0.07751
DMP0971,0.12164,0.30976,1.00545,1.15523,0.20326,0.24936,0.16322
DMP0975,0.26980,0.29897,1.36177,0.49184,0.39614,0.42154,0.26485
DMP0978,0.31978,0.50035,0.39741,0.89589,0.38020,0.67412,0.25907
DMP0982,0.29369,0.20396,0.46353,0.35741,0.58305,0.57290,0.08414
DMP0985,0.40497,0.38401,0.62916,0.21252,0.55839,0.43553,0.09481
DMP0996,0.42509,0.34239,0.83658,0.43178,0.15668,0.36298,0.18434
DMP1000,0.25031,0.33216,1.10925,1.22139,0.57651,0.52102,0.21927
DMP1001,0.32074,0.36039,0.32364,0.33988,0.47004,0.38435,0.10697
DMP1003,0.14315,0.27850,1.02941,0.35872,0.62930,0.24683,0.21795
DMP1006,0.60815,0.74421,2.59667,1.77690,3.12826,2.68838,0.48873
DMP1028,0.03390,0.11021,0.33364,0.36889,0.12379,0.14459,0.09425
DMP1032,0.12061,0.09093,0.51521,0.10338,0.26980,0.11334,0.05329
DMP1037,0.02601,0.45043,0.75469,1.03691,0.26976,0.25138,0.12138
DMP1039,0.20723,0.46938,0.42831,1.37547,0.36308,0.36429,0.22179
DMP1052,0.25083,0.25699,0.96130,0.57364,0.58840,0.47258,0.15826
DMP1057,0.34790,0.48042,0.81744,0.29727,0.29421,0.66212,0.07054
DMP1062,0.51353,0.61577,0.61895,0.45493,0.55384,0.31005,0.20584
DMP1064,0.19462,0.51357,0.86837,0.79834,0.66164,0.30778,0.15774
DMP1070,0.06474,2.05568,0.24493,2.74997,0.22891,0.68532,0.17796
DMP1083,0.11094,0.84155,0.26904,0.50548,0.18180,0.37718,0.12148
DMP1090,0.36116,0.38325,0.60229,0.25791,0.37269,0.22940,0.12435
DMP1095,0.19702,0.17196,0.12609,0.69009,0.11601,0.09868,0.06454
DMP1100,0.24966,0.34607,1.84527,1.36472,0.19282,0.12070,0.17035
DMP1114,0.15123,0.32950,0.84080,0.26524,0.25908,0.15656,0.13969
DMP1135,0.11128,0.50711,0.44086,0.23317,0.20327,0.13653,0.13529
DMP1157,0.04751,0.14730,0.87649,0.30795,0.13611,0.05662,0.12201
DMP1165,0.07993,0.55296,1.15638,0.81238,0.93273,0.64717,0.14075
DMP1172,0.14453,0.42971,0.31064,0.25593,0.80486,0.11558,0.15379
DMP1183,0.04206,0.34131,0.28480,0.29223,0.05264,0.13136,0.04988
DMP1192,0.10644,0.18631,0.43544,0.48789,0.09938,0.11689,0.07846
DMP1205,0.25687,0.18551,0.61422,0.34834,0.34847,0.21481,0.13205
DMP1221,0.07344,0.41418,0.35733,0.55467,0.06106,0.13789,0.07317
DMP1225,0.09665,0.28028,0.49370,0.99632,0.14193,0.15381,0.07094
DMP1226,0.17743,0.75369,0.24177,0.86938,0.13226,0.12890,0.06911
DMP1227,0.74451,0.40566,2.07958,1.45407,0.21458,0.41841,0.17348
DMP1231,0.06104,0.47669,0.73581,0.62462,0.32505,0.11573,0.10985
DMP1241,0.15732,0.82355,0.24436,0.44864,0.26536,0.22216,0.09070
DMP1243,0.28279,0.18143,1.54142,1.52630,0.30288,0.36280,0.14248
DMP1248,0.58883,0.53003,1.26408,2.70579,0.54888,1.10054,0.23465
DMP1252,0.07926,0.28583,0.16130,0.30327,0.36312,0.24722,0.06191
DMP1260,0.22615,0.74116,0.24758,0.22584,0.10400,0.09704,0.14683
DMP1266,0.33957,0.83542,1.16731,1.56035,0.41980,0.23484,0.18957
DMP1271,0.15079,0.23675,0.89147,1.24497,0.19777,0.39379,0.10195
DMP1291,0.06912,0.54095,0.16845,0.15022,0.10709,0.07828,0.05186
