SM-DA,SM-VA,SM-FP,SM-DMN,DA-VA,DA-FP,DA-DMN,VA-FP,VA-DMN,FP-DMN
0.37631,0.49975,-0.26975,-0.15861,0.26034,0.11575,-0.29706,-0.029873,-0.089362,0.13356
0.06513,0.16725,-0.15177,-0.16358,0.20595,0.2333,-0.0092321,0.14948,-0.072592,0.13448
-0.078085,0.1721,-0.30469,-0.28435,0.091885,0.26131,0.03164,-0.055017,-0.02975,0.2116
0.037131,0.22213,0.011053,0.13562,0.052102,0.28428,-0.15102,0.040091,-0.041218,0.22925
-0.25491,0.047293,-0.31076,0.10775,0.36036,0.26659,-0.021483,0.10783,-0.0067759,0.066114
0.17488,0.30987,0.10632,0.16545,0.15998,0.32165,0.2447,0.15038,0.15833,0.19616
-0.27301,0.059936,-0.41403,-0.080255,0.052526,0.029358,-0.24119,0.06812,-0.082463,0.15887
-0.25689,0.25908,-0.38805,-0.12367,0.072482,0.12639,-0.09015,-0.091496,-0.037724,0.20544
0.23217,0.16962,-0.019968,0.051726,0.13457,0.25423,0.1932,0.17893,0.096452,0.22204
0.0045962,0.44156,0.019803,0.20913,0.10204,0.064569,-0.18134,0.093489,0.17976,0.17279
-0.05292,0.41763,-0.27764,0.06331,0.013057,0.082344,-0.13599,-0.074714,0.0094775,0.063856
0.73591,0.70575,0.35358,0.38537,0.53398,0.48547,0.24996,0.25488,0.20035,0.32814
0.072643,0.037172,-0.1981,-0.062558,-0.027591,0.040978,-0.075472,0.021168,-0.068782,0.23793
0.22807,0.34128,-0.13706,-0.046229,0.1806,0.077192,-0.10509,-0.0617,-0.018305,0.16542
0.33234,0.49839,0.042568,0.077436,0.34625,0.14103,-0.16909,0.074401,-0.079823,0.17615
-0.034645,0.30602,-0.26712,-0.1532,0.12133,0.23033,0.08816,0.19551,0.060677,0.21695
0.16165,0.37579,-0.21635,-0.12206,0.29358,0.082655,-0.093104,-0.049648,-0.023949,0.14278
-0.14026,0.097119,-0.23243,-0.2209,-0.0082262,0.094674,-0.14769,0.16884,0.10958,0.25681
-0.28697,0.24523,-0.49864,-0.044165,0.070429,0.099191,-0.12985,-0.085979,0.050817,0.09702
0.22045,0.38893,-0.1927,0.027525,0.15631,0.13063,-0.054219,-0.030664,-0.023325,0.14613
0.28045,0.52579,-0.24012,0.094533,0.33721,0.12948,-0.043661,0.036044,-0.019569,0.035459
-0.15064,0.28451,-0.25998,-0.15226,0.089743,0.10808,0.045477,0.009962,-0.048759,0.1166
-0.27155,0.20661,-0.34536,0.011292,-0.074002,0.118,-0.11424,-0.13514,0.023408,0.1704
0.041367,0.48419,-0.024637,-0.1157,0.15478,0.090392,-0.024406,0.11026,-0.045508,0.065756
0.14607,0.23027,-0.045117,0.19872,0.29061,0.30346,0.27635,0.22776,0.222,0.34751
0.18097,0.34556,-0.10345,0.13697,0.39271,0.37561,0.1512,0.46607,0.29826,0.38856
-0.10453,0.14657,-0.19077,-0.070758,0.094976,0.20711,-0.1174,0.02568,-0.17884,0.035899
-0.045168,0.13247,-0.31929,-0.23257,0.22125,0.11407,-0.082484,0.083187,-0.040637,0.24225
-0.060844,0.20154,-0.19651,0.020853,0.058514,0.11309,0.0069341,0.069772,-0.062123,0.072584
0.019814,0.37398,-0.27756,-0.11559,0.16778,0.10313,-0.14468,-0.066271,-0.14382,0.13262
-0.10055,0.22279,-0.29204,-0.11297,0.042329,0.081495,-0.10707,-0.050442,-0.16015,0.29894
0.70008,0.49409,0.41409,0.51682,0.46497,0.51655,0.35879,0.40573,0.21898,0.34638
0.088869,0.45338,-0.35023,-0.29351,0.067093,0.083799,-0.013228,-0.11076,-0.14401,0.1873
-0.0029859,0.13295,-0.36252,-0.18087,-0.088486,0.028543,-0.11649,-0.011304,0.023005,0.12914
0.32039,0.29225,-0.087125,-0.12978,0.13143,0.092678,-0.056758,0.12759,0.11041,0.09741
0.11163,0.27659,0.020517,0.1785,0.088217,0.196,-0.00056828,0.10172,0.13631,0.27502
0.19842,0.31329,-0.00017196,0.0090211,0.27183,0.23995,0.05177,0.21642,0.0309,0.30825
-0.048012,0.4726,-0.2145,-0.14782,-0.054656,0.15267,-0.050504,-0.026575,-0.05965,0.11879
0.033136,0.35983,-0.22252,-0.14849,0.1067,0.2193,-0.037761,0.12009,0.042153,0.16935
0.15278,0.26061,-0.10884,-0.21221,0.054528,0.080661,-0.032457,0.10596,-0.0073532,0.11055
0.12891,0.28636,0.078582,0.045348,0.23445,0.53399,0.12259,0.2032,-0.0015223,0.24301
0.52382,0.35417,0.13266,0.10176,0.24262,0.37321,0.15247,0.080413,-0.089569,0.24448
0.68508,0.56487,0.40293,0.27082,0.39867,0.5038,0.15375,0.26282,0.14847,0.42678
-0.018274,0.093959,-0.15374,-0.15426,0.23153,0.20847,-0.22134,0.1276,-0.10424,0.029875
0.52444,0.46971,0.16431,0.16972,0.44054,0.47321,0.17828,0.2281,0.16551,0.32701
-0.30501,0.026309,-0.51067,-0.12092,0.045611,0.12015,-0.28642,0.012935,-0.03486,0.29939
0.13706,0.17425,-0.27302,-0.15216,0.17481,0.0044276,-0.06709,0.012251,-0.026115,0.11349
